parcel_id,territory,cadastral_number,owner,crop,geometry_wkt,area_ha
AM-001,Amga,14:1000:2001,Farm-AM-1,hay,"POLYGON ((129 61.7, 129 62.025000000000006, 129.26666666666668 62.025000000000006, 129.26666666666668 61.7, 129 61.7))",227737.94
AM-002,Amga,14:1001:2002,Farm-AM-2,potato,"POLYGON ((129.26666666666668 62.35, 129.26666666666668 62.025000000000006, 129 62.025000000000006, 129 62.35, 129.26666666666668 62.35))",230183.15
AM-003,Amga,14:1010:2003,Farm-AM-3,grain,"POLYGON ((129.26666666666668 61.7, 129.26666666666668 62.025000000000006, 129.53333333333333 62.025000000000006, 129.53333333333333 61.7, 129.26666666666668 61.7))",227737.94
AM-004,Amga,14:1011:2004,Farm-AM-4,feed,"POLYGON ((129.53333333333333 62.35, 129.53333333333333 62.025000000000006, 129.26666666666668 62.025000000000006, 129.26666666666668 62.35, 129.53333333333333 62.35))",230183.15
AM-005,Amga,14:1020:2005,Farm-AM-5,barley,"POLYGON ((129.8 61.7, 129.53333333333333 61.7, 129.53333333333333 62.025000000000006, 129.8 62.025000000000006, 129.8 61.7))",227737.94
AM-006,Amga,14:1021:2006,Farm-AM-6,oat,"POLYGON ((129.8 62.35, 129.8 62.025000000000006, 129.53333333333333 62.025000000000006, 129.53333333333333 62.35, 129.8 62.35))",230183.15
YU-001,Yunkor,14:1000:2001,Farm-YU-1,hay,"POLYGON ((129.85 61.75, 129.85 62.075, 130.11666666666667 62.075, 130.11666666666667 61.75, 129.85 61.75))",228110.26
YU-002,Yunkor,14:1001:2002,Farm-YU-2,potato,"POLYGON ((130.11666666666667 62.4, 130.11666666666667 62.075, 129.85 62.075, 129.85 62.4, 130.11666666666667 62.4))",230564.66
YU-003,Yunkor,14:1010:2003,Farm-YU-3,grain,"POLYGON ((130.11666666666667 61.75, 130.11666666666667 62.075, 130.38333333333333 62.075, 130.38333333333333 61.75, 130.11666666666667 61.75))",228110.26
YU-004,Yunkor,14:1011:2004,Farm-YU-4,feed,"POLYGON ((130.38333333333333 62.4, 130.38333333333333 62.075, 130.11666666666667 62.075, 130.11666666666667 62.4, 130.38333333333333 62.4))",230564.66
YU-005,Yunkor,14:1020:2005,Farm-YU-5,barley,"POLYGON ((130.65 61.75, 130.38333333333333 61.75, 130.38333333333333 62.075, 130.65 62.075, 130.65 61.75))",228110.26
YU-006,Yunkor,14:1021:2006,Farm-YU-6,oat,"POLYGON ((130.65 62.4, 130.65 62.075, 130.38333333333333 62.075, 130.38333333333333 62.4, 130.65 62.4))",230564.66
